"year","country","pol_index"
2010,"DK",0.117693089896338
2010,"FR",0.126317552778566
2010,"GB",0.101887951357978
2018,"DK",0.11910095249462
2018,"FR",0.116839148073396
2018,"GB",0.100591867423228
