run-number, ticks, turtle-id, opinion
0, 1, 240, 0.5278035772169164
0, 1, 249, 0.04319192666381885
0, 1, 50, 0.21565540547977427
0, 1, 207, 0.07047322420310784
0, 1, 224, 0.22725208967271368
0, 1, 179, 0.956442192175066
0, 1, 15, 0.14483328618023444
0, 1, 112, 0.07595897165295513
0, 1, 110, 0
0, 1, 1, 0.39272931418144236
0, 1, 259, 0.1789319506606944
0, 1, 7, 0.09603553217762653
0, 1, 206, 0.7051051082590599
0, 1, 237, 0.008985014116990748
0, 1, 140, 0.8138976326620292
0, 1, 187, 0.49190023739822847
0, 1, 242, -0.17397099967475022
0, 1, 293, 0.043823624913612975
0, 1, 84, 0.1369894269068775
0, 1, 98, 0.07172511554754515
0, 1, 90, 0.0750927149171076
0, 1, 111, 0.09955169016056656
0, 1, 34, -0.07076985060254891
0, 1, 60, -0.05131857022618222
0, 1, 214, 0.24835212408921625
0, 1, 215, 0.08397669446697481
0, 1, 122, 0.6185024781401484
0, 1, 72, 0.06393458607924553
0, 1, 16, 0.29318402640060043
0, 1, 48, 0.019139222247006468
0, 1, 219, 0.838328302505333
0, 1, 286, 0.11174910883893593
0, 1, 87, 0.0665496269423319
0, 1, 21, 0.020211681611446812
0, 1, 157, -0.018854217387065247
0, 1, 82, 0.9053933631803134
0, 1, 230, 0.10467187595444091
0, 1, 106, 0.009481871035080075
0, 1, 26, 0.30794606729050933
0, 1, 229, 0
0, 1, 276, 0.6032095471740262
0, 1, 147, 0.6941435665210802
0, 1, 222, 0.35453474332716517
0, 1, 279, -0.5223031500205664
0, 1, 22, 0.1274708246738382
0, 1, 58, 0.9582726478778794
0, 1, 121, -0.570545936437443
0, 1, 29, 0.617063208365114
0, 1, 150, 0.186968998884823
0, 1, 145, 0.04363667031411056
0, 1, 124, -0.6807814973682362
0, 1, 89, 0.10015222974376613
0, 1, 298, -0.1572423554358472
0, 1, 116, -0.4560236509996406
0, 1, 17, -0.08381617001212883
0, 1, 191, 0.43890279116219905
0, 1, 238, -0.4514268956708868
0, 1, 62, 0.04272584141447829
0, 1, 264, -0.06343638524730613
0, 1, 133, -0.1815369484932452
0, 1, 85, -0.37453472539682575
0, 1, 91, -0.3644620760910481
0, 1, 153, -0.0582358114958448
0, 1, 123, 0.00894237813846295
0, 1, 252, 0.35064893051694834
0, 1, 275, 0.667701845684783
0, 1, 139, -0.4604509214582361
0, 1, 115, 0.5761109821317804
0, 1, 78, 0.0847864349752504
0, 1, 204, 0.02961687102283097
0, 1, 296, 0.21600118150890707
0, 1, 59, 0.005015151742971259
0, 1, 272, -0.10158316659503878
0, 1, 165, 0.14454171461360615
0, 1, 168, 0.43462628224317257
0, 1, 212, 0.00985867580443802
0, 1, 81, 0.5526984376630505
0, 1, 160, 0.25257123370502355
0, 1, 9, 0.034245108045456475
